[S_ms0] gen 1: v1 score=0.8871 
[S_ms0] gen 2: v2 score=0.8985 
[S_ms0] gen 3: v2 score=0.8985 (rollback)
[S_ms0] gen 4: v2 score=0.8985 (rollback)
[S_ms0] gen 5: v2 score=0.8985 (rollback)
[S_ms0] gen 6: v2 score=0.8985 (rollback)
[S_ms0] gen 7: v2 score=0.8985 (rollback)
[S_ms0] gen 8: v2 score=0.8985 (rollback)
[S_ms0] gen 9: v2 score=0.8985 (rollback)
[S_ms0] gen 10: v2 score=0.8985 (rollback)
[S_ms0] gen 11: v2 score=0.8985 (rollback)
[S_ms0] gen 12: v2 score=0.8985 (rollback)
[S_ms0] gen 13: v2 score=0.8985 (rollback)
[S_ms0] gen 14: v2 score=0.8985 (rollback)
[S_ms0] gen 15: v2 score=0.8985 (rollback)
[S_ms0] gen 16: v2 score=0.8985 (rollback)
[S_ms0] gen 17: v2 score=0.8985 (rollback)
[S_ms0] gen 18: v2 score=0.8985 (rollback)
[S_ms0] gen 19: v2 score=0.8985 (rollback)
[S_ms0] gen 20: v2 score=0.8985 (rollback)
[S_ms0] 완료 5983s
