[T_deadlock_ms0_t0.3] gen 1: v1 score=0.7705 
[T_deadlock_ms0_t0.3] gen 2: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 3: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 4: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 5: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 6: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 7: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 8: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 9: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 10: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 11: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 12: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 13: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 14: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 15: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 16: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 17: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 18: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 19: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] gen 20: v1 score=0.7705 (rollback)
[T_deadlock_ms0_t0.3] 완료 1492s
