[Z_ms0] gen 1: v1 score=0.8871 
[Z_ms0] gen 2: v1 score=0.8871 (rollback)
[Z_ms0] gen 3: v1 score=0.8871 (rollback)
[Z_ms0] gen 4: v1 score=0.8871 (rollback)
[Z_ms0] gen 5: v1 score=0.8871 (rollback)
[Z_ms0] gen 6: v1 score=0.8871 (rollback)
[Z_ms0] gen 7: v1 score=0.8871 (rollback)
[Z_ms0] gen 8: v1 score=0.8871 (rollback)
[Z_ms0] gen 9: v1 score=0.8871 (rollback)
[Z_ms0] gen 10: v1 score=0.8871 (rollback)
[Z_ms0] gen 11: v1 score=0.8871 (rollback)
[Z_ms0] gen 12: v1 score=0.8871 (rollback)
[Z_ms0] gen 13: v1 score=0.8871 (rollback)
[Z_ms0] gen 14: v1 score=0.8871 (rollback)
[Z_ms0] gen 15: v1 score=0.8871 (rollback)
[Z_ms0] gen 16: v1 score=0.8871 (rollback)
[Z_ms0] gen 17: v1 score=0.8871 (rollback)
[Z_ms0] gen 18: v1 score=0.8871 (rollback)
[Z_ms0] gen 19: v1 score=0.8871 (rollback)
[Z_ms0] gen 20: v1 score=0.8871 (rollback)
[Z_ms0] 완료 6189s
